fish,0.2559,-0.31452,-1.0079,0.1434,0.52982,0.31531,-0.82169,0.0060026,1.5235,-0.40637,0.20401,0.93042,2.061,0.73117,0.44506,-0.0043559,1.2895,-0.16854,-1.1219,-0.80836,-0.19725,-1.2056,1.2739,0.23962,0.44387,-0.77988,0.1557,0.28534,1.0253,-0.61694,2.5009,-0.41019,0.57532,0.51033,-0.060849,0.40419,-0.34696,0.38221,0.629,-0.22291,-0.32009,0.21292,1.0723,0.32437,1.3304,0.54586,-0.22236,-0.80589,0.16487,0.29792,animals
bird,0.78675,0.079368,-0.76597,0.1931,0.55014,0.26493,-0.75841,-0.8818,1.6468,-0.54381,0.33519,0.44399,1.089,0.27044,0.74471,0.2487,0.2491,-0.28966,-1.4556,0.35605,-1.1725,-0.49858,0.35345,-0.1418,0.71734,-1.1416,-0.038701,0.27515,-0.017704,-0.44013,1.9597,-0.064666,0.47177,-0.03,-0.31617,0.26984,0.56195,-0.27882,-0.36358,-0.21923,-0.75046,0.31817,0.29354,0.25109,1.6111,0.7134,-0.15243,-0.25362,0.26419,0.15875,animals
dog,0.11008,-0.38781,-0.57615,-0.27714,0.70521,0.53994,-1.0786,-0.40146,1.1504,-0.5678,0.0038977,0.52878,0.64561,0.47262,0.48549,-0.18407,0.1801,0.91397,-1.1979,-0.5778,-0.37985,0.33606,0.772,0.75555,0.45506,-1.7671,-1.0503,0.42566,0.41893,-0.68327,1.5673,0.27685,-0.61708,0.64638,-0.076996,0.37118,0.1308,-0.45137,0.25398,-0.74392,-0.086199,0.24068,-0.64819,0.83549,1.2502,-0.51379,0.04224,-0.88118,0.7158,0.38519,animals
tiger,0.33183,-0.60256,-0.046032,0.89941,0.26504,-0.02695,-0.89378,-0.21996,0.28162,-0.7974,-0.15519,-0.15385,-0.4443,-0.060597,0.17669,0.49661,1.0924,0.6526,-1.4514,0.5046,-1.4857,0.60573,0.51944,-0.39546,0.2653,-1.0493,-0.79394,-0.0085854,-0.2987,-0.41866,2.0018,-0.078285,-0.72413,1.3828,0.5019,0.35222,-0.37933,-0.81655,-0.59159,-1.0502,-0.55532,-0.46533,-0.3038,0.11061,1.3216,-0.34734,0.039552,0.046421,-0.086983,-0.45584,animals
cat,0.45281,-0.50108,-0.53714,-0.015697,0.22191,0.54602,-0.67301,-0.6891,0.63493,-0.19726,0.33685,0.7735,0.90094,0.38488,0.38367,0.2657,-0.08057,0.61089,-1.2894,-0.22313,-0.61578,0.21697,0.35614,0.44499,0.60885,-1.1633,-1.1579,0.36118,0.10466,-0.78325,1.4352,0.18629,-0.26112,0.83275,-0.23123,0.32481,0.14485,-0.44552,0.33497,-0.95946,-0.097479,0.48138,-0.43352,0.69455,0.91043,-0.28173,0.41637,-1.2609,0.71278,0.23782,animals
lion,0.60093,0.012934,-0.61032,-0.13871,1.2507,0.10128,-0.20073,-1.1283,0.60857,-0.16666,0.22419,0.61781,0.50102,-0.22303,-0.011922,0.24229,0.82199,0.5748,-1.9703,0.044589,0.22157,-0.26673,-0.005156,-0.36311,-0.42483,-0.79237,-1.557,0.22124,-0.32143,-0.46747,1.0604,0.84237,0.045337,0.86075,-0.085506,0.0058815,-0.16237,-1.0329,-0.25763,-0.65854,-0.13647,0.3653,-0.61384,-0.54004,0.24051,-0.23007,-0.31155,-1.3485,0.4327,-0.34512,animals
elephant,0.53238,-0.26987,-0.72294,-0.45325,1.0188,0.31013,-0.67626,-1.3509,1.4854,-0.51832,0.26574,0.10283,0.94469,-0.12249,0.54467,0.38361,1.0307,0.59792,-1.1687,0.45008,-0.74563,-0.2027,-0.36233,-0.084513,0.4107,-0.88857,-0.17601,0.44655,-0.29449,-0.72429,1.1036,0.16668,-0.15839,0.63755,-0.10105,0.8701,0.24232,-0.71078,-0.41333,-0.44293,-0.68612,0.11676,-0.31466,0.1242,1.1761,-0.45089,0.17163,-0.93316,0.3179,-0.85743,animals
monkey,0.28704,-0.60904,-0.74821,0.17686,0.92118,0.36994,0.10464,-1.0945,0.45246,0.75508,0.041291,0.61758,0.82508,0.7044,0.12365,-0.081073,-0.060157,0.90245,-1.2025,0.04606,-0.57476,-0.15483,0.45276,-0.087841,0.49575,-1.0462,-0.59215,0.40345,-0.11113,-1.3799,0.97611,-0.312,-0.75014,0.44309,-0.0056967,0.44116,0.073432,-0.76681,0.12938,-0.54472,-0.74424,0.19052,-0.80318,0.54953,1.1741,0.37876,0.93837,-1.0941,0.2474,-0.69492,animals
zebra,0.55187,-0.55757,-0.87654,0.19655,-0.30563,0.5857,-0.98501,-1.1661,1.1107,-0.17984,0.5406,0.55565,1.1487,-0.2913,-0.5693,0.24325,0.18264,-0.55738,-0.85243,-0.19324,-0.79782,0.25598,0.22989,0.29796,-0.5053,0.3876,-0.28487,0.64152,0.75176,-1.4718,0.13144,-0.48219,-0.077943,0.92818,-0.017554,-0.63378,-0.22195,-1.052,-0.36775,-0.36997,0.70562,-0.041422,0.63393,0.45642,0.34611,-0.48998,0.40178,-1.0439,-0.37666,0.15733,animals
giraffe,0.8454,-0.20614,-1.1094,-0.38644,0.7915,0.63976,-0.82535,-1.3888,0.72605,-0.29175,0.88466,0.029209,0.93826,0.21106,0.0059474,0.8038,0.35371,0.086044,-0.54181,0.49454,-1.217,0.6138,-0.66195,0.08868,-0.21948,0.61198,-0.3132,0.83538,-0.10864,-0.70175,-0.70622,0.18821,0.15043,0.97725,0.027834,0.10375,0.17843,-0.40562,0.12374,-0.25376,0.20968,0.1656,0.17587,0.44022,0.62472,-0.36059,0.33775,-0.52014,-0.039747,-0.22855,animals
